PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title,isNull
1,0,3,"Braund, Mr. Owen Harris",True,22.0,1,0,A/5 21171,7.25,,0,0,False
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",False,38.0,1,0,PC 17599,71.2833,C85,1,2,False
3,1,3,"Heikkinen, Miss. Laina",False,26.0,0,0,STON/O2. 3101282,7.925,,0,1,False
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",False,35.0,1,0,113803,53.1,C123,0,2,False
5,0,3,"Allen, Mr. William Henry",True,35.0,0,0,373450,8.05,,0,0,False
6,0,3,"Moran, Mr. James",True,,0,0,330877,8.4583,,2,0,True
7,0,1,"McCarthy, Mr. Timothy J",True,54.0,0,0,17463,51.8625,E46,0,0,False
8,0,3,"Palsson, Master. Gosta Leonard",True,2.0,3,1,349909,21.075,,0,3,False
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",False,27.0,0,2,347742,11.1333,,0,2,False
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",False,14.0,1,0,237736,30.0708,,1,2,False
11,1,3,"Sandstrom, Miss. Marguerite Rut",False,4.0,1,1,PP 9549,16.7,G6,0,1,False
12,1,1,"Bonnell, Miss. Elizabeth",False,58.0,0,0,113783,26.55,C103,0,1,False
13,0,3,"Saundercock, Mr. William Henry",True,20.0,0,0,A/5. 2151,8.05,,0,0,False
14,0,3,"Andersson, Mr. Anders Johan",True,39.0,1,5,347082,31.275,,0,0,False
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",False,14.0,0,0,350406,7.8542,,0,1,False
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",False,55.0,0,0,248706,16.0,,0,2,False
17,0,3,"Rice, Master. Eugene",True,2.0,4,1,382652,29.125,,2,3,False
18,1,2,"Williams, Mr. Charles Eugene",True,,0,0,244373,13.0,,0,0,True
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",False,31.0,1,0,345763,18.0,,0,2,False
20,1,3,"Masselmani, Mrs. Fatima",False,,0,0,2649,7.225,,1,2,True
21,0,2,"Fynney, Mr. Joseph J",True,35.0,0,0,239865,26.0,,0,0,False
22,1,2,"Beesley, Mr. Lawrence",True,34.0,0,0,248698,13.0,D56,0,0,False
23,1,3,"McGowan, Miss. Anna ""Annie""",False,15.0,0,0,330923,8.0292,,2,1,False
24,1,1,"Sloper, Mr. William Thompson",True,28.0,0,0,113788,35.5,A6,0,0,False
25,0,3,"Palsson, Miss. Torborg Danira",False,8.0,3,1,349909,21.075,,0,1,False
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",False,38.0,1,5,347077,31.3875,,0,2,False
